Ulasan,Rating
Kocak mau login aja ga bisa udah coba 100x lebih wkwk,1
auto refresh sendiri apk tolol,1
"gimana sih udh kasih nama pengguna X nya ttp ""Salah"" emg salah dri mananya org aku udh isi. udh ak ulang beberapa kali ih ttp ga bisa daftar, buat akun juga kudu pake nama pengguna. g tw g beres ni apk kburu bad mood",1
Mntap,4
Disini kita semua adalah sumber Media terbaik.,5
Sebenernya ini kesalahan ku soal ganti tahun jadi akun nya kekunci cuman pas mau benerin ribet bgt udah ke help center aku pencet yang disuru log out tp gabisa udah aku ubah sandi gabisa juga ada notifikasi coba lagi udah nunggu berjam jam juga ngga bisa jadi bingung balikinnya,2
Sekrang kok gak bisa liat aktivitas melihat,3
Goodjob X,1
Jelek bynk bug,1
"TWITTER TAIKkkk, KEBANYAKAN IKLANN",1
good news,5
"loading lama banget,berkali2 harus hapus chache dulu baru bisa kebuka . itupun gak lama keulang lagi",1
terimakasih.,5
💪👍,5
"Terlalu sering update aplikasi, sering bug klo udh 2 hari ga buka aplikasi, ganti nama bukan malah bagus tambah mines kinerjanya dehhhh",1
sering terjadi eror pemutaran media,1
"Berkat belajar dari al-quran ini, sekarang saya bisa ngaji",5
Ok gas,4
"Kek nya keluhannya sama ky usher yg lain sering ngebug tiba"" log out sendiri",4
bikin kecanduan,1
Sangat penting untuk mengikuti perkembangan selanjutnya,5
Sgan brgna,5
Aplikasi kok gampang logout anjrott.. mana katanya bot,1
"Sejak ganti jd X aplikasi bnyak bug. Sering logout sendiri, mau login kembali² terus.",1
Dikit2 di banned terus. .sekalian aja unistal,1
Abas,5
Bikin akun 2x kena baned terus. Aplikasi apaan ini,1
Akun saya sering kena blokir dari sistem wkwk,1
baru mau coba lagi app ini.. moga lancar..,5
Vidio,5
Waaaaaayyyyy too much bots to be used anymore,1
Full SJW,1
Stupid aplikasi why always log out,1
"kok ga bisa login? nge stuck di tanggal lahir mulu, aneh padahal apk lain bisa loh",1
Knapa sekarang banyak bug ny sih Klok lagi scroll² tiba tiba akun ny log out sendiri gmpang gk kena lagi postingan ny di liat padahal paket ny baru beli sinyal ny enak tpi kok GK bisa di liat Tpi ak suka sma aplikasi ny,4
"Akun saya tiba tiba di-suspend dan untuk pengajuan banding sama sekali tidak ada responnya ,benar2 keterlaluan sekali manajemen x ini tidak seperti ketika masih logo burung biru",1
Apasih akun ditangguhkan mulu. Gak jelas,1
"kenapa kok suka tiba-tiba log out, kekunci, niat ga si kalo mau buat apk?",1
Aplikasi ini buruk saya tidak bisa masuk kata sandi,1
Paling buruk,1
"Lumayan berita terbaru update terus, mudah, cepat, jelas",5
"Since changing to X, this application has not been working as expected, it is really disappointing, I prefer the old application, in my opinion the old one was better than the current one, this is my opinion",1
"Segala macam hoax ada disini,dan yg belom banyak pengalaman,atau ga siap dgn pengalaman baru,mending jgn installl,klu ga kuat iman 🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬",5
bagus tapi pas sedang di download agak lama nunggu nya,4
"gatau, pokoknya apk nya bagus aja",5
Ni apk tambah ga jelas,1
kok semua akun saya tidak bisa mengirim foto ya? selalu 'Gagal mengirim postingan' sudah saya update + hapus data juga tetep aja,1
Top 🚗,5
Good news,4
Great job,5
"Untuk developer X, tolong bug nya masih ada, saya mencoba keluar dari semua sesi akun tapi masih ada akun tersebut disana, tolong perbaikannya untuk lebih baik kedepannya. Terima kasih.",1
"kenapa kalau d putar layar penuh nggak bisa, jadi nggak nyaman",1
"Aplikasi nga jelas, pas buka tiba"" Akun di tangguhkan",1
Social media yang sangat bagus dan nyaman,5
Mohon loadingnya agak d stabilin dong apk udah mantep betul fflem2 nya sip hd punya cuman stu aja lemot klo mw down lma prosesnya .,5
Aplikasi yg menyediakan fitur bokep dan afiliasi sopi dalam setiap trending topiknya👍,5
"X ,memang luar biasa .selain hiburan saya paling suka itu keamanan dan privasi yg sangat kuat .",4
Aplikasi yang sangat bagus saya banyak menemukan berita terbaru di x,5
Aneh.kenapa log in harus menggunakan nama pengguna kenapa tidak menggunakan email dan kata sandi saja.saya lupa nama pengguna dari twiter saya lalu bagaimana caranya ini.,1
Udah pakai WiFi jaringan lancar kenapa lihat foto sama Vidio lama banget loadingnya aneh,1
Lbh bgs lg dr sblumnya..,5
"Sangat menghibur,disaat gabut😊",5
Baru instal mau daftar behh susah nya langsung hapus lah kelamaan buang kuota ja,1
"If there was a feature where users could see old photos or videos like on YouTube, meaning photos/videos from when X was first used, like going back to the first photo.",3
Sama sekali tidak memuaskan,1
All good,5
Sangat.membantu.saya.dengan.layanan.imi,3
Stelah di update aplikasi sering mental sendiri langsung keluar 😑,3
"masih ada bug nya, tolong segera perbaiki ya. waktu mosting foto / vidio pasti ga bisa ngeliat engagement nya, ada tulisan ""coba lagi"" udh dipencet tp tetep eror",3
makin kesini makin gajelas,1
"keseringan posting sekarang lama, dan sering terjadi gagal kirim postingan..",1
"this is insane, X right now can't login, alwys force close, and it happens because last update, now not already fixed? where the developer?",1
Keren :)!,5
keluar keluar Mulu dari aplikasi kenapaa yaaa,1
Foto profil nya ko gabisa di ganti? + skrng bnyk bug nya :(,3
Gabut bgt gw kek gini😭😭,2
Bagus sekali udah lama pake,5
Kebanyakan bokep,1
Aplikasi tolol login kgk bisa ditekan apa2 aja kgk bisa tlol Elon musk,1
Udh daftar tp gbs,1
Aplikasi nya lumayan oke lah,4
"Baguslah, utk menambah wawasan",5
Okk,5
I can't see my post activity and I can't see the media attached in posts except when I click the post,1
"akun ku di banned anjir, padahal cuma like-like doang malah di sangka bot",1
loading lama,3
Apalah apk nya bokep mulu,1
Banyak film bokep yang di blur,1
Males bosen,1
Menurut gua si asik aja,5
"Ok, mantap, , , sedikit penyesuaian untuk kebijakan dan fitur dr aplikasi",5
najis banget deh. udah scroll like sampe bawah malah kembali ke atas!,1
bagus aja🗿,5
Keren dong,5
Apk sampah....,1
keluarkan versi lite lgi donk. berat di para hp kentang,1
Gud,3
Kerennnnnn,5
Isinya berfaedah smw,1
keluar sendiri dari akun trs gabisa masuk lagi susah loginnya,1
"baru scroll sebentar tiba-tiba keluar sendiri, aku coba hapus cache malah sama aja, udah di update juga sama aja suka keluar sendiri, tolong di perbaiki dong",1
Cara daftar nya gimana woi kok kesalahan teknis mulu mending lu tutup di apk kntol,1
apa coba sering bener ke kunci kunci,4
Mantap 👍🙏,5
"look and open the eyes of your heart see the application error is not repaired😭😭😭😡🤡🤬👺👎🥲 Tired of reinstalling, just the samem... Another one that hasn't been fixed yet 🤬👎🤬👎🤬👺😡🤡👺😒😡🤡👺👎🤬 @elonmusk",1
Parah terekspor ke publik dan terkena hack,1
Sangat memuaskan bagi saya Dalam mendapatkan informasi dan hiburan 👍,5
Super super mantap nih appk bisa pribadi x aman kan dan pertahan kan,5
Ngebug Mulu,2
"Apk apaan dah, gw mau buat akun GK bisa² wajib buat akun pula",1
elon musk hebat beri aku 100 juta,5
👍🏻👍🏼👍🏽👍🏾👍🏿,5
Saya udah login dan saya menunggu untuk kode tapi belum terkirim,2
akun hanya baca gapernah upload sesuatu apapun di tangguhkan🫠,1
Aplikasi anj kga guna,1
Aku haters,1
Semenjak dibeli elon musk nih aplikasi jadi cacat njing,1
"Sebetulnya bagus,cuma kenapa pas lagi secroll itu keluar sendiri,trs kenapa sering keluar juga saat mau liat video plis lah trs pas lagi lihat post akun orang suka ngulang dari awal lagi plis lah,kenapa bug nya itu loh ganggu banget,benerin gak lu Elon,benerin lah capek tau kek gini dari dulunya asik jadi gak asik,plis gak asik bet anjeng,tolong lah betulin terus tuh dulu kalo kita liat post orang terus kita matiin data apa yang udah kita liat msih bis di liat lagi sekarang dah gak bisa,updt lgi",2
"Kenapa tiba-tiba akun sya di tangguhkan ?? Sya sudah ajukan banding dan sudah riset sandi , awal nya bisa , trus kenapa di tangguhkan lagi, di perbaiki lah",1
Pokoknya mantab betul.,5
"Waktu itu pas baru selesai download gak bisa masuk + gak dikirim kode Verifikasi ny, padahal internet bagus tapi sama sekali gak bisa, udah dicoba sampai tujuh kali tapi tetep gak bisa, itu kenapa ya? Padahal katanya email bakalan kirim tapi gak ada sama sekali udah 30 menit tetep gak ada, pas coba masukin kode asal juga tetap gak bisa",1
"untuk saat ini saya kasih bintang 1 karena adanya bug force close dan akun yg tiba tiba ke kunci,mohon pihak x segera tangani bug ini karena sangat menganggu sekali",1
Mantap bos,5
BUG nya makin ke sini makin terlalu banyak sekali dan pas SCROLLING akun sering LOG OUT sendiri !!!,1
Nyampek sekarang aku gk bisa masuk ke akun x,4
"gasuka terkadang setiap buka x, pasti timeline ke refresh sendiri",1
Banyak bokep,1
"Apk ini sangat menghibur utk mengisi waktu luang,. Sukses selalu,.👍👍",5
2 bintang dulu karna serring tiba2 klur sendiri,2
Ko akun gw ditangguh tiba2 gw nggak buat kesalahan harap aktifkan akun gw,1
"ni apk knpaa dahh, seling ke lock, trus out sendiri. kadng bug. aduhh sumpah ngeselinn",1
baguss bangett isi nya kpop idol aku semua,5
"akunku sering kekunci dan sekarang malah hilang, lgi scroll liat informasi kasus tiba-tiba kekunci. Tolong dong diperbaiki, mana email-nya tiba-tiba email orang!",1
PROFILE PIC GW GA BISA DIGANTI ANJIRRR,1
Memberi hiburan dan pengetahuan,5
Sering error dan kebanyakan bug,1
Najiss sama aplikasi kaya gini,1
Good job...thank you ✨🙏🏻,4
aplikasi yang memuaskan laki laki mantap di perbanyak lgi video baru nya,5
Mayan ga tau kenapa,5
"Maaf ...saya kasih 1 bintang...setiap saya mengguna kan x baru beberapa hari akun saya ditangguhkan itu bkn sekali ,setiap ditangguhkan saya buat gi akun tp sama sj hasilnya ..padahal saya bukan robot dan terlebih lagi kalau mengikuti GA nya mengikuti aturan tugasnya tp masih juga akun saya ditangguh kan ... X sekarang tidak bagus yang dulu",1
"Ini aplikasi yang memenangkan Donald Trump karena AQ ring 1 Donald Trump di Indonesia, tolong infokan ke Elon musk admin x / Twitter, ketika admin infokan ini ke beliau atau ring 1 Elon musk langsung, anda akan naik jabatan.btw agar karyawan x / Twitter sehat dan sejahtera, disarankan ada libur bagi karyawan agar jumpa keluarga, karena Allah bilang, harta yang paling berharga adalah keluarga, mutiara yang paling indah adalah keluarga.",5
Sangat Ok,5
"aplikasi bagus simpel, pokoknya best lah.... krng bnyk upgrate vitur2nya semoga bsk2 bisa video live......👍👍👍👍",5
sangat memuaskan banyak update berita yang disajikan oleh x,5
Aplikasi bagus sekali,5
Apk nya sangat bagus,5
Awesome,5
kok gbis kirim gambar 🥲 kan aku mau akun ku viral,1
lemot bgt cokkkkkkkk,1
"Sering banget tibatiba gangguan ""sedang tidak ada koneksi, tenang ini bukan kesalahan anda"" kenapa sih gangguan mulu pas dipake",3
Gak bisa log in,1
kadang lambat padahal jaringan bagus-bagus aja,4
Akun di tangguhkan sudah beberapa hari tidak di pulihkan dan tidak ada respon.,2
saya di bawah umur,3
Donlod nya lama bgt sy,1
Bisa lihat bokep sepuasa nya,5
jangan di download apk ny ga bener suka ad permasalahan terus akun ny ga bisa di apa apain jangan di download ges,1
Tiba tiba tiap mingu harus update.. Lagi asik liat vidio tiba tiba gak muter,1
Simple and clred . 😪,5
"Kebanyakann verifikasi,,, Setiap mau masuk musti verifikasi dulu..",1
Aplikasi sampah blok tlol,1
aku download X karena pengin liat kasus-kasus vtuber 😁,4
Logout terus aplikasinya jadi males mau make lagi,1
"Apk aneh, mau login dimintain username, yang lupa, nasib akunnya gimanaa woe",2
sering banget ngebug padahal sinyal udah bagus 🥴,2
semakin kesini semakin sering akun ditangguhkan dengan alasan yang tidak jelas dan tidak bisa memperbaiki akun yang ditangguhkan,1
Wow Keren,4
Apl bokep,1
Terlalu sering keluar sendiri,2
Memang keren update berita terkini dan terbaru,5
saran kenapa kadang habis liat postingan langsung keluar sendiri? tolong di perbaiki lagi,3
Aku gak tau mau expetasi apa tapi yg jls ak MW bikin au,4
saya mengalami beberapa keluhan yang tidak mengenakan,1
Pas,5
Aplikasi sosmed paling mantap,5
"Bukannya makin bener malah tambah kacau nih X. Banyak sekali glitch dan error,kadang app nya gk mau ngeload,video stuck, gambar hitam doang, beranda gk bisa di refresh, hilang koneksi, force close dan banyak lagi kendala yg lain. Rating app nya juga tambah turun gara gara gajelas bgt X yg sekarang. Kecewa gw dgn developer X :(",1
"aplikasi nggk jelas, tiba tiba akun aku di tangguhkan, padahal nggk nge langgar peraturan,",1
"why X? udah ke 5 kali akun ku di kunci, pdahal ga ngapa-ngapain , Lama-lama cape juga harus gonta-ganti akun, perbaiki lah X",1
😍🥰,5
"Aplikasi ini virus,tidak ada dilayar utama tapi minta di update,aneh",1
Banyak bug mengganggu,1
Login akun tidak bisa,1
Gka jlas pemilik tweter skrg. Pakai X lah.,1
banyak bug kgk jelas kalau hp gua ke hack lu musti tanggung jawab soalnya kadang logout sendiri kgk jelas pas gua masukin sandi nya malah gagal kalau itu nge hack gua viralin lu nanti jadi bintang 1,2
Twiter semenjak punya si melon musk jdi aneh alien bego,1
Makin di update loading mulu,1
Akun ke blok mulu,1
lucu,1
shibal emosi bgt sama nih apk. lagi scroll tbtb lag terus keluar sendiri.. ga cuma sekali tp berulangkali kaya gitu. padahal memori ku juga masih banyak,1
Mohon kepada developer X nya apa maksud knp tbtb akun aku ditangguhin? Apa masalahnya?? Trus tbtb keluar dengan sendirinya dari akun. Mohon diperbaiki bug yang bikin mood turun ya..,2
"Makin ksni makin gak jelas, akun tiba² d tangguhkan, bikin akun baru lgi mlah eror",1
𝒔𝒂𝒏𝒈𝒂𝒕 𝒃𝒂𝒊𝒌,5
aku kalo lgi scrol tiba² akun nya ke kunci trus aku udh 3× ganti akun anj,1
"Aplikasi rusak, g ngapa"" in padahal tiba"" lag trus akun ke kunci kalau ngga keliar"" sendiri, trus sering tiba"" akun ditangguhkan padahal g ngelakuin pelanggaran, emang dasar tolol yang bikin ni apk",1
Saat baik dan membantu 📌👍,5
Why has X been experiencing frequent playback errors lately? Please fix this issue.,2
#BIOKOTUMBRELLA #TUTUPHOLYWINGS #ISLAMBERSATU #BOIKOTINDIA UNTUK NABI MUHAMMAD DAN SELURUH UMAT ISLAM DI DUNIA,5
"kenapa ya saya tidak melanggar peraturan tiba tiba akun saya kekunci sendiri ini terjadi 2 kali loh saya tidak ada berbuat masalah, dan saya merasa ini aplikasi makin bug jadi mohon aplikasi nya diperbaiki akun saya kekunci sedang kan teman saya tidak ada kekunci seperti saya jadi mohon perbaiki aplikasi nya.",1
Hilangkan video vulgar,5
X.,5
Begitu bnyak foto orang telanjang tanpa sensor,1
cukup baik,4
Sangat baik menurutku,5
"Bagus, tpi kenapa platform tidak valid di akun saya,.",5
"Setiap mau buat akun ada saja, tulisan ada kesalahan teknis udah berapa kali kali aku bikin akun ada Mulu kesalahan teknis tolong di perbaiki lagi.",1
"tolong diperbaiki ya, sedikit bug saat sedang menonton beberapa vidio. misal saat nonton vidio tetiba terhenti dan tidak bisa ditonton/macet, padahal sinyal bagus.",4
Apk gajelas tiap buka ngebug dulu gabisa scroll kayak gada kuota padal ada dan buka apk lain lancar,1
Te dua ♥,3
"Kenapa ga bisa masuk,s tggu in ga da email nya..kenapa sllu ada tulisan "" terjadi kesalahan teknis ""....jd yg eror ny dimna ...ahhh bingng nih ada kerjaaan d x",2
lemottt,3
"X too bad, more better Twitter, twitter never suspend but X always suspend account and we don""t the reason why our account always suspend. Too bad, dont to much active or comunicte with acount bliue tick by direct mesage or you will get suspend.",1
Sangat memyenangkan banyak informasi yg bisa didapat di aplikasi ini,5
Mantap twitter. Lanjutkan.,5
Informatif dan terpercaya beritanya.,5
Sangat jelekkk,1
"Semenjak namanya di ganti jadi x kok sering banget errornya ya, dulu waktu namanya masih twitter gak seperti ini, tolong di perbaiki dengan benar demi kenyamanan pengguna terimakasih",1
"Susah buat login, akun gua dua gabisa diverifikasi, giliran akun orang bisa, disuruh masukin nama pengguna, ketauan akun lama, mau login pake nama pengguna ya lupa lah, yang bener aja X Crop, saya tuh butuh login pada aplikasi mu, jangan membuat rumit keadaan",1
"Pepek, mau daftar aja susah",5
gak bisa BUat akun,1
"Jauh merosot, semakin kurang diminati",1
"Kok makin ngk jelas sihh, seringbanget mgk bisa ke refresh, terus sering balik sendiri ke bagian atas banget pas lagi scrooll",3
Sering refresh sendiri bikin kesel,1
Apa² an ini baru juga masuk macam² aja...di BILANG GA JELAS LAH APA LAH....APA SCH MAU NYA....PADAHAL EMAIL DAN KATA SANDI SAYA UDAH BENAR...KOQ JUSTRU DI KELUARKAN SECARA TIDAK JELAS....,1
x nya bodol anjrt akun gua ilang sendiri,1
"kode verifikasi nya ga muncul, tiap keluar dari Twitternya pasti akunnya langsung ke kunci, gabisa masuk lagi",2
"gaje, gue ga ngelanggar peraturan apapun tiba tiba akun ditangguhkan belum bisa dibuka sampe sekarang. jelek banget ini apk nyesel download nya. mau ngasih bintang nol tapi gabisa",1
"Lemot.. Lemot, makin lemot. Udah upgrade sekalipun",3
Ok bgt,5
apknya lumayan 👍🏻,5
siapa yg terpaksa download ini cuman mau liaat kasus vtuber? akuu☹️☹️,2
Bagus ada fidio mantap,5
"Lumayan bagus, tapi kadang"" lelet",5
JULID BET,1
Aplikasi sangat buruk .masa mau login error trrus,1
"ga bagus skrng mah lah, susah jing msuk x",1
Cakep,5
Tidak bagus,1
Jangan sering suspend akun lah jing,2
"Lemotttt, sering ga bisa update!!",3
"gabisa ganti pp, lama bgt skrg pdhl jaringan bagus memori jg msi banyak yg kosong",3
"Keren banget apk nya💝, lebih keren daripada apk sebelah🤭",5
"Kenapa tiba"" akun q di tangguhkan sekarang sangat jelek",1
Bagus aja ☺,5
Penuh inspirasi,4
plis lemot banget gakuat jadi males buka apknya,4
"Lemot banget sekarang,buka gambar aja lama",2
enak kalo cerita ke twitter,5
Aplikasi taik mau login/daftar selalu error,1
Iya aja sih,1
Eror ga jelas asli,1
Salah satu somed terbaik,5
Good platform with more independent than others.,4
ELON WITH X IS TRASH,1
Lama-lama jelek banget aplikasi nya.,1
kembalikan bisa lihat fitur like orang lain !!,1
"Jadi eror gini gak bisa refresh gak bisa simpan foto, apa apaan",1
bagusin x gwh pls,5
Kk rade arjun,5
"aplikasinya bagus, tapi kenapa ya tiba tiba banget aplikasinya ga bisa buka atau menonton video atau foto, seperti ngelek dijaringan saya, padahal jaringan wifi saya sangat stabil, tolong untuk developer segera diperbaiki aplikasinyaa yaa, terima kasihh",4
Banyak down nya,1
Kenapa Apilkasi Twitter tidk bisa dibuka Cobari kami jawb nya,5
"Capek deh tiap buka makin lemot sejak ganti jadi X, sering eror padahal jaringan stabil utk buka apk yg lain. 😮‍💨👎",1
"GA BISA LOGIN FAKKKK, MUTER² TERUS JINK",1
Tolong diperbaiki lagi soalnya dari tadi tidak bisa di refresh padahal jaringan bagus,2
udah beli boost balasan tapi komen gak diatas,5
Terlalu banyak bug dan berita palsu.,1
Ke refresh mulu dah tiap bis baca komen,1
x lemot banget masa jaringan bagus tapi stuk terus gimana sihh,1
Gagal login terus,1
"min x, sorry kok hari ini akun aps bermasalah ya?? entah kenapa gak bisa login padahal jaringan wifi saya bagus kok, tolong bantu yaa, entah kenapa gak bisa masuk dan selalu loading lama, ditambah selalu ada tulisan ""kesalahan teknis"" bahkan ketika saya mencoba mau membuat akun baru juga tidak bisa",1
Lemot,2
Ini gimana si ga bisa login,1
"nambah fitur doang bug nya kaga di fix, apalah",2
gak bisa log in sama sekali,1
"My account often logs out by itself, bastard. the quality of the application is worse than before.. unsatisfactory and unattractive, this new logo has brought down the old brand that many people know and stuck in their minds The new logo is foreign and the quality of the application has decreased, your customers will definitely decrease",1
"Padahal tadi siang lancar"" Lah skrng haduh foto ada tapi buka komen muter"" Mulu padahal jaringan lamcat",3
Yop,5
JELEK SEKALI,1
Like it the best,5
"aplikasi kenapa sekarang jadi loading terus mana lama lagi, nge bug sendiri, ini gimana mau gunain nya klo gini",3
Lemott bangett jirr gw gabisa login apaan coba mau buat akun baru gabisa mau login ke akun lama pun tetep gabisa! Gimana sih ini tolong di perbaiki dong pihak X,1
Karena ada vedio seruh,3
1 bulan update 3-4 kali sinyal juga full bagus padahal....tapi aplikasi gk bisa dibuka (loading terus). Semenjak jadi X lemot jadinya 😩,2
"makin lama makin aneh. pemutaran vidio error, dll,. kalau belum siap update, jangan diupdate dlu. bukannya update biar tambah bagus malah jadi ladang bug sistem.",4
"Pengalaman saya menggunakan X bagus, menyajikan berita yg aktual dan hiburan yg menarik",5
Saya banyak sekali mem punyai teman dis8ni,5
"udah di download tapi ko ga bisa, kenapa dah :(",1
Aplikasi aneh,1
tidak bisa di download lagi,2
Fuc,1
"Akun udah ada 5 tahunan tiba tiba kena Suspend tanpa sebab yang jelas, padahal gak pernah posting ataupun RT hal hal aneh😄 akun akun yang memposting 18+ malah tidak disuspend,sistem aneh.",1
erorr,1
I can't log in to my account after install the new version! The app alwaya clsed itself. And it's happening again. Why???,1
Apalah akun di tangguhkan,1
Ini sangat bgus tapi saya belumm,5
Aplikasi ruwet,1
Tidak suka krena kalau akun bermasalah tdk bisa kembali lagi...,3
tiba tiba kluar sendri,5
"Kembalikan versi lama Twitter!!! Sejak berganti menjadi X, sering sekali bug muncul, misal kolom search atau trending yang terus loading, sudah di mode pesawat, tutup lalu masuk akun, tetapi masih saja begitu, padahal tidak ada kendala dijaringan internet (saya sudah membuktikannya dengan membuka aplikasi yang lain). Satu lagi yang paling saya benci, timeline sering sekali terefresh sendiri. Ini sangat menyebalkan.",2
aplikasi bokep anjg banyak link dood berkeliaran tp gpp gw kasih bintang 5,5
"Udah aplikasi lemot banyak bacot, banyak anak abah sok pinter. Aplikasi Warga si paling iq tinggi. Wkwk",1
Banyak informasi aktual,5
Tks you elon musk sudah buat plafom X memang mandul 🤣😂🤭🥰😍,5
"Ini gimana sih ko akun saya di tangguhkan secara tiba-tiba padahal saya baru mendownload X lagi dan saya lupa kata sandi terus saya ubah eh ini malah di tangguhkan akun saya,Anda kira saya penyusup,tolonglah kembalikan akun saya lagi!,saya sudah mengajukan banding tetapi tidak di respon-respon,TOLONG KEMBALIKAN AKUN SAYA SEGERA!!!",2
"aplikasinya bagus sebenernya. cuman kadang suka tiba2 keluar sendiri, terus kalo lagi scroll2 akun suka keulang dari awal. gabisa liat semua postingan juga, udah coba di akunku yang lain buat liat postingannya juga tetep sama, udah coba searching, barang kali emang ga bisa di liat semua, atau ada solusinya, tpi ga ada hasil.",4
Tolong perbaiki bug dari aplikasi ini. Setiap membuka DM selalu keluar secara tiba-tiba dari aplikasi,2
Aplikasi busuk gada gunanya,1
banyak informasi yg lgi hot banget disini,5
Baguzzz,4
Tidak bisa mengakses/melihat like postingan,5
Ngajelas kalo nga di buka lama² keluar sendiri,3
Ok lah,5
Mempersulit penggunaan,1
sering ngebug,2
Jelek gx kayak dulu,1
"Jelek, banyak iklan..shame",1
Makin jelek babi,1
Update Mulu update Mulu,3
Kok diupdate malahan ngeleg terus ya? Yang sebelumnya gak apa-apa kenapa jadi gak bisa putar vidionya?! Padahal kuota full pakai wifi pun sama .....Tolong perbaiki ya,3
Newest news available here.,5
"Bener sekali banyak yang kasih bintang satu atau jelek, akun saya di suspend, padahal akun saya asli , email asli, nomor hp milik sendiri, apaan.. Kalo bukan karena airdrop, kayknya gak penting2 amat pakai twitter...",1
Aplikasi x terbaru tidak ada LogUot,5
Semenjak di ganti jadi x udah ga kaya dulu lagi sekrng lemot jadi sekarang udah uninstall,1
Leg,2
Cara terbaik menjual akun adalah susahnya masuk akun sendiri,1
"Sangat baik, cocok bagi anak gabut",5
"semenjak dibeli elon n berubah jadi X nih aplikasi semakin lemot, berat, kebanyakan iklan, mau liat video aja harus nonton iklan dulu, parahnya iklan bebas, banyak iklan iklan berbahaya kayak judol dan game game aneh, dan banyak fitur ampas ga berguna, yang paling jelek sekarang gampang banget kena suspend terus susah unsuspend, padahal akun bersih, giliran akun pornografi akun open bo pada aman aja, udah gitu hadirnya centang biru berbayar jadi banyak akun spam, downgrade parah ni aplikasi",1
Saya suka banyak hal disini,5
Bosokkk👎👎👎,1
Terbaaaik Twitter ---- X 🔥🔥🔥,5
Good App,5
"Balikin twitter yang dulu.gw gk suka twitter sekarang,Banyak lemotnya lah buglah tolong lah wifi data udh stabil tp sering bug GK bisa scroll.terus tiba² keluar sendiri",1
Sampai saat ini sangat luar biasa,5
Sering tiba tiba keluar akun sendiri,1
"Bisa tauu berita Tentang member sama biasss , pokoknya baguss",5
Bagus hiburan,5
Bisa nonton film,4
Mantap👍🏻,5
Pokoknya keren,5
"Aplikasi gk jelas!!!, dikit dikit Penangguhan. Nyebarin hal negatif juga enggak gila ya sekalian aja tutup aplikasinya mana katanya mau di boikot dari Indonesia!!!!!",1
"payah, Elon matre! banyakan fitur hrs bayar.",1
buset dah sekarang harung berlangganan dulu,1
Best platform media social,4
akun sudah 2x di banned tanpa sebab,1
Sangat seru,5
bgus saya suka,5
Kasih bintang 1 masak mau masuk ga bisa bisa trus keluar sendiri akun gue pas di login ga masuk masuk kalau udah di benerin baru bintang 5,1
Perbaiki lagi min Ni Bru downlod brp menit udh di blokir akun gua🗿,3
Oke mantap man,5
"Makin kesini makin banyak bugnya. akun sering log out sendiri pas lagi scrolling, akun tiba tiba kekunci saat mau login ampe 2x, timeline sering ngerefresh sendiri, nonton video scroll otomatis pas kembali suaranya gk ilang,lihat foto loadingnya lama & kadang apknya force close sendiri. Padahal dulu enak ringan & simple sekarang malah berat & banyak bugnya update pun gk membantu sama sekali.",1
"Aplikasi yg sering update adalah contoh bukti developer yg buruk, update cukup sebulan sekali",1
Gak bisa di Download,1
"pas lagi liat berita seru seru nya eh, akun ku kekunci",3
Aneh ga bsa login..,1
Bagus kualitasnya bisa nonton video bok**,5
lag bgt,3
Britanya sangat bagus,5
Semoga kedepan semakin baik,5
Bnyak bkp jirlah,5
"akun gue di tangguhkan mulu jink, ga ngapa ngapain padahal",1
Okkkk,5
Anjay,5
Sangat cocok digunakan untuk dan bermanfaat bagi orang lain.,5
Tiba-tiba lama gak dipakai keluar sendiri,1
"Bagus, cmn ada kendala di pencarian karena tidak bisa mencari orang yang dimaksud.",5
Informasi cepat,5
Aplikasi jelek,1
Cool man,5
"Mohon diperbaiki sistemnya, jaringan saya lancar kok ngelag terus, suka keluar aplikasi",1
TERLALU BANYAK AKUN MESUM. SANGAT MENG GANGGU!!!,1
lemot macet kenapa jadi begini dah,1
Gak suka soalnya buat akunya susah lama lama aneh diaplikasi🗿,3
login ne pie,1
Senang,5
Sangat bikin naik darah saya unduh dari jam 10.15 sampai pagi jam 09.51 gam selesai,2
Trima Kasih Aplikasi Sangat Membantu,5
aplikasi nya ngeleg banget gak kaya awal,1
Bokep Mulu keluar,1
nggk bisa dibuka,1
Lumayan gak guna ini aplikasi semenjak di ganti x,1
Aplikasi gak bisa di buka,2
makin jelek performa app nya,3
"Hi dev why akun saya keluar dan tidak bisa login, memang tadi saya pinjamkan hp saya ke saudara dan saya minta tolong buka lagi akses akun saya Sudah kembali normal makasih",5
Berita dan informasi terupdate.. mungkin X sebaiknya diganti dengan kata,5
Sangat bagus mengunakan aplikasi ini,5
Enak ei,5
💕💐,5
"Ya gitu, kalian jg ngerasain kan",1
"Bagus aplikasi ini 👍, tpi kenapa akun saya suka keluar sendiri dan kali ini akun saya ditangguhkan? Padahal saya tidak pernah melakukan hal-hal yang di larang oleh X",5
Aplikasi yang bagus dan stabil.,5
"Sometimes an error like being suspended appears on my previous account. When it was still called Twitter, there was no error at all. This is very annoying.",1
Sering eror,5
Makin diupdate makin parah. Ngga sekenceng jaman burung biru. Bapq,3
Aplikasi ini sungguh tidak seru,1
Bang bagus twiter nya dong,5
